location,state,type,so2,no2,rspm,spm,pm2_5,date,Year,Month,SOi,Noi,Rpi,SPMi,AQI,AQI_Range
Silvassa,Dadra & Nagar Haveli,Industrial Areas,7.3,17.4,80.0,278.0,32.0,2009-12-31,2009.0,12.0,9.125,21.749999999999996,0.0,228.0,228.0,Unhealthy
Sindri,Jharkhand,Industrial Area,14.0,35.0,77.0,187.0,32.0,2015-05-30,2015.0,5.0,17.5,43.75,0.0,158.0,158.0,Poor
Singrauli,Madhya Pradesh,"Residential, Rural and other Areas",13.0,15.0,91.0,187.0,42.0,2015-12-31,2015.0,12.0,16.25,18.75,0.0,158.0,158.0,Poor
Sivasagar,Assam,"Residential, Rural and other Areas",9.0,17.0,71.0,187.0,32.0,2015-12-31,2015.0,12.0,11.25,21.25,0.0,158.0,158.0,Poor
Solapur,Maharashtra,Industrial Area,13.0,35.0,74.0,187.0,32.0,2015-12-31,2015.0,12.0,16.25,43.75,0.0,158.0,158.0,Poor
South Suburban,West Bengal,"Residential, Rural and other Areas",3.0,50.0,173.0,187.0,32.0,2015-12-26,2015.0,12.0,3.75,62.5,0.0,158.0,158.0,Poor
Srikakulam,Andhra Pradesh,Industrial Area,7.0,20.0,81.0,187.0,32.0,2015-12-25,2015.0,12.0,8.75,25.0,0.0,158.0,158.0,Poor
Sunder Nagar,Himachal Pradesh,"Residential, Rural and other Areas",2.0,8.0,33.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,10.0,0.0,158.0,158.0,Poor
Surat,Gujarat,Industrial Area,15.0,21.0,91.0,187.0,30.0,2015-03-26,2015.0,3.0,18.75,26.25,0.0,158.0,158.0,Poor
Talcher,Odisha,Industrial Area,11.0,27.0,171.0,187.0,88.0,2015-12-29,2015.0,12.0,13.75,33.75,0.0,158.0,158.0,Poor
Tarapur,Maharashtra,Industrial Areas,25.5,39.8,105.0,137.0,32.0,2008-12-06,2008.0,6.0,31.875,49.74999999999999,0.0,124.66666666666666,124.66666666666666,Poor
Tezpur,Assam,"Residential, Rural and other Areas",9.0,17.0,114.0,187.0,32.0,2015-12-28,2015.0,12.0,11.25,21.25,0.0,158.0,158.0,Poor
Thane,Maharashtra,"Residential, Rural and other Areas",22.0,63.0,115.0,187.0,32.0,2015-12-31,2015.0,12.0,27.5,78.75,0.0,158.0,158.0,Poor
Thiruvananthapuram,Kerala,Industrial Area,18.0,27.0,59.0,187.0,32.0,2015-12-31,2015.0,12.0,22.5,33.75,0.0,158.0,158.0,Poor
Thissur,Kerala,"Residential, Rural and other Areas",2.0,5.0,59.0,187.0,32.0,2015-12-30,2015.0,12.0,2.5,6.25,0.0,158.0,158.0,Poor
Thoothukudi,Tamil Nadu,Industrial Area,14.0,21.0,101.0,187.0,32.0,2015-10-31,2015.0,10.0,17.5,26.25,0.0,158.0,158.0,Poor
Tilamol,Goa,"Residential, Rural and other Areas",4.0,9.0,59.0,187.0,19.0,2015-12-29,2015.0,12.0,5.0,11.25,0.0,158.0,158.0,Poor
Tinsukia,Assam,"Residential, Rural and other Areas",7.0,24.0,176.0,187.0,32.0,2015-12-29,2015.0,12.0,8.75,30.0,0.0,158.0,158.0,Poor
Tirupati,Andhra Pradesh,Sensitive Area,5.0,10.0,61.0,187.0,32.0,2015-12-28,2015.0,12.0,6.25,12.5,0.0,158.0,158.0,Poor
Trichy,Tamil Nadu,"Residential, Rural and other Areas",9.0,15.0,40.0,187.0,32.0,2015-12-31,2015.0,12.0,11.25,18.75,0.0,158.0,158.0,Poor
Trivandrum,Kerala,Residential and others,6.8,26.1,54.0,62.0,32.0,2009-12-31,2009.0,12.0,8.5,32.625,0.0,62.0,62.0,Moderate
Trivendrum,Kerala,"Residential, Rural and other Areas",13.4,14.6,90.0,187.0,32.0,2002-12-01,2011.0,7.0,16.75,18.25,0.0,158.0,158.0,Poor
Tumkur,Karnataka,"Residential, Rural and other Areas",2.0,11.0,64.0,187.0,32.0,2015-12-30,2015.0,12.0,2.5,13.75,0.0,158.0,158.0,Poor
Tura,Meghalaya,"Residential, Rural and other Areas",2.0,5.0,22.0,187.0,32.0,2015-09-22,2015.0,9.0,2.5,6.25,0.0,158.0,158.0,Poor
Turicorin,Tamil Nadu,"Residential, Rural and other Areas",5.3,7.2,90.0,51.0,32.0,1991-12-01,2011.0,7.0,6.625,9.0,0.0,51.0,51.0,Moderate
Tuticorin,Tamil Nadu,"Residential, Rural and other Areas",9.6,16.5,90.0,22.0,32.0,2002-12-01,2011.0,7.0,12.0,20.625,0.0,22.0,22.0,Good
ULUBERIA,West Bengal,RIRUO,20.0,46.0,171.0,187.0,32.0,2015-12-29,2015.0,12.0,25.0,57.5,0.0,158.0,158.0,Poor
Udaipur,Rajasthan,"Residential, Rural and other Areas",5.0,32.0,171.0,187.0,32.0,2015-12-31,2015.0,12.0,6.25,40.0,0.0,158.0,158.0,Poor
Ujjain,Madhya Pradesh,"Residential, Rural and other Areas",8.0,11.0,97.0,187.0,32.0,2015-12-31,2015.0,12.0,10.0,13.75,0.0,158.0,158.0,Poor
Ulhasnagar,Maharashtra,"Residential, Rural and other Areas",28.0,71.0,131.0,187.0,32.0,2015-12-30,2015.0,12.0,35.0,88.75,0.0,158.0,158.0,Poor
Umsning,Meghalaya,Industrial Area,2.0,12.0,40.0,187.0,32.0,2015-08-26,2015.0,8.0,2.5,15.0,0.0,158.0,158.0,Poor
Una,Himachal Pradesh,Industrial Area,8.0,22.0,81.0,187.0,32.0,2015-12-31,2015.0,12.0,10.0,27.5,0.0,158.0,158.0,Poor
Unnao,Uttar Pradesh,"Residential, Rural and other Areas",9.0,27.0,95.0,187.0,32.0,2015-12-28,2015.0,12.0,11.25,33.75,0.0,158.0,158.0,Poor
Usgao,Goa,"Residential, Rural and other Areas",4.0,9.0,52.0,187.0,17.0,2015-12-30,2015.0,12.0,5.0,11.25,0.0,158.0,158.0,Poor
VAPI,Gujarat,RIRUO,13.0,20.0,89.0,187.0,29.0,2015-03-26,2015.0,3.0,16.25,25.0,0.0,158.0,158.0,Poor
Vadodara,Gujarat,"Residential, Rural and other Areas",12.0,19.0,71.0,187.0,32.0,2015-11-19,2015.0,11.0,15.0,23.75,0.0,158.0,158.0,Poor
Vapi,Gujarat,Industrial Area,15.0,21.0,81.0,187.0,28.0,2015-03-26,2015.0,3.0,18.75,26.25,0.0,158.0,158.0,Poor
Varanasi,Uttar Pradesh,"Residential, Rural and other Areas",20.0,34.0,146.0,187.0,32.0,2015-12-31,2015.0,12.0,25.0,42.5,0.0,158.0,158.0,Poor
Vasco,Goa,Industrial Area,4.0,20.0,87.0,187.0,32.0,2015-12-31,2015.0,12.0,5.0,25.0,0.0,158.0,158.0,Poor
Vijayawada,Andhra Pradesh,"Residential, Rural and other Areas",7.0,49.0,98.0,187.0,32.0,2015-12-28,2015.0,12.0,8.75,61.25,0.0,158.0,158.0,Poor
Visakhapatnam,Andhra Pradesh,Industrial Area,8.0,16.0,64.0,187.0,32.0,2015-12-25,2015.0,12.0,10.0,20.0,0.0,158.0,158.0,Poor
Vishakhapatnam,Andhra Pradesh,"Residential, Rural and other Areas",6.5,24.1,90.0,8.0,32.0,2002-12-01,2011.0,7.0,8.125,30.125,0.0,8.0,30.125,Good
Vizianagaram,Andhra Pradesh,Industrial Area,9.0,21.0,70.0,187.0,32.0,2015-12-25,2015.0,12.0,11.25,26.25,0.0,158.0,158.0,Poor
Warangal,Telangana,"Residential, Rural and other Areas",7.0,17.0,85.0,187.0,32.0,2015-12-29,2015.0,12.0,8.75,21.25,0.0,158.0,158.0,Poor
Wayanad,Kerala,Sensitive Area,2.0,5.0,34.0,187.0,32.0,2015-12-30,2015.0,12.0,2.5,6.25,0.0,158.0,158.0,Poor
West Singhbhum,Jharkhand,Industrial Area,18.0,22.0,85.0,187.0,32.0,2015-07-28,2015.0,7.0,22.5,27.5,0.0,158.0,158.0,Poor
Yamuna Nagar,Haryana,Industrial Area,14.0,20.0,30.0,187.0,32.0,2014-12-30,2014.0,12.0,17.5,25.0,0.0,158.0,158.0,Poor
Yamunanagar,Haryana,Industrial Areas,12.3,25.2,386.0,460.0,32.0,2009-12-28,2009.0,12.0,15.375,31.5,0.0,406.9767441860465,406.9767441860465,Hazardous
